state,group,grade,sub,vgap,vgapse,sesgap,resid,incV,edV,unemprat,povrat,enrl,fips,y1sesgap,y2sesgap,x1sesgap,x2sesgap,y1incV,y2incV,x1incV,x2incV,y1edV,y2edV,x1edV,x2edV,vgapse2,seweight,y1unemprat,y2unemprat,x1unemprat,x2unemprat,y1povrat,y2povrat,x1povrat,x2povrat
"AZ","blk",4,"read",.655,.0477,.2907886,-.1137791,.6400429,.6604602,2.776914,2.909896,4238.833,"Arizona",.378,2.078,-.1,1.6,.1815398,1.155946,-1,2,.3938085,1.484521,-.5,2.5,.0022768,439.2161,.6717991,1.181764,0,10,.5082991,1.483623,0,11
"AZ","hsp",4,"math",.847,.0276,.5642442,.0402035,.9067109,1.24731,1.524084,2.969931,32255.58,"Arizona",.143,1.843,-.1,1.6,-.3790149,1.504489,-1,2,.0675631,1.480557,-.5,2.5,.0007644,1308.195,.6213536,1.417812,0,10,.2802785,1.986334,0,11
"AZ","hsp",4,"read",.752,.0264,.6026433,-.0013707,.9067109,1.24731,1.524084,2.969931,32255.58,"Arizona",.051,1.751,-.1,1.6,-.4413069,1.422306,-1,2,-.0339986,1.435674,-.5,2.5,.000697,1434.743,.5585436,1.320314,0,10,.2325985,1.844095,0,11
"AZ","blk",8,"math",.76,.0465,.3782104,-.1489623,.6400429,.6604602,2.776914,2.909896,4238.833,"Arizona",.431,2.131,-.1,1.6,.1057694,1.473777,-1,2,.4672487,1.820155,-.5,2.5,.002162,462.5434,.8620538,1.28495,0,10,.5980427,1.855158,0,11
"AZ","blk",8,"read",.683,.0473,.3150824,-.0924146,.6400429,.6604602,2.776914,2.909896,4238.833,"Arizona",.361,2.061,-.1,1.6,.1607846,1.165672,-1,2,.3933816,1.477607,-.5,2.5,.0022369,447.0443,.6902131,1.108518,0,10,.540767,1.400359,0,11
"AZ","hsp",8,"math",.81,.0269,.5373725,.0054539,.9067109,1.24731,1.524084,2.969931,32255.58,"Arizona",.167,1.867,-.1,1.6,-.2876797,1.450589,-1,2,.147586,1.40787,-.5,2.5,.0007242,1380.917,.6211048,1.476643,0,10,.319176,1.891673,0,11
"AZ","hsp",8,"read",.747,.0305,.6322168,.0364877,.9067109,1.24731,1.524084,2.969931,32255.58,"Arizona",-.022,1.678,-.1,1.6,-.4886567,1.399311,-1,2,-.0144324,1.348337,-.5,2.5,.0009284,1077.072,.5188523,1.316976,0,10,.2017192,1.800016,0,11
"AR","blk",4,"read",.864,.0299,.2470671,.1391535,.8901526,.5372099,2.53585,2.795296,7980.25,"Arkansas",.378,2.078,-.1,1.6,.1815398,1.155946,-1,2,.3938085,1.484521,-.5,2.5,.0008959,1116.238,.6717991,1.181764,0,10,.5082991,1.483623,0,11
"AR","blk",4,"math",1.04,.0311,.300706,.1323441,.8901526,.5372099,2.53585,2.795296,7980.25,"Arkansas",.507,2.207,-.1,1.6,.2297721,1.420677,-1,2,.4695542,1.851122,-.5,2.5,.0009688,1032.229,.85237,1.368426,0,10,.6289541,1.821329,0,11
"AR","hsp",4,"read",.549,.0406,.4242466,-.0264443,.4504377,1.066916,1.276275,1.752151,2761.5,"Arkansas",.051,1.751,-.1,1.6,-.4413069,1.422306,-1,2,-.0339986,1.435674,-.5,2.5,.0016461,607.5104,.5585436,1.320314,0,10,.2325985,1.844095,0,11
"AR","hsp",4,"math",.523,.0377,.37203,-.0923371,.4504377,1.066916,1.276275,1.752151,2761.5,"Arkansas",.143,1.843,-.1,1.6,-.3790149,1.504489,-1,2,.0675631,1.480557,-.5,2.5,.0014231,702.6994,.6213536,1.417812,0,10,.2802785,1.986334,0,11
"AR","blk",8,"math",1.01,.0306,.3816302,.0983386,.8901526,.5372099,2.53585,2.795296,7980.25,"Arkansas",.431,2.131,-.1,1.6,.1057694,1.473777,-1,2,.4672487,1.820155,-.5,2.5,.0009368,1067.473,.8620538,1.28495,0,10,.5980427,1.855158,0,11
"AR","blk",8,"read",.909,.0307,.2788875,.1696297,.8901526,.5372099,2.53585,2.795296,7980.25,"Arkansas",.361,2.061,-.1,1.6,.1607846,1.165672,-1,2,.3933816,1.477607,-.5,2.5,.0009424,1061.148,.6902131,1.108518,0,10,.540767,1.400359,0,11
"AR","hsp",8,"math",.568,.0426,.3481562,-.0472041,.4504377,1.066916,1.276275,1.752151,2761.5,"Arkansas",.167,1.867,-.1,1.6,-.2876797,1.450589,-1,2,.147586,1.40787,-.5,2.5,.0018174,550.2327,.6211048,1.476643,0,10,.319176,1.891673,0,11
"AR","hsp",8,"read",.471,.0422,.4098283,-.0168139,.4504377,1.066916,1.276275,1.752151,2761.5,"Arkansas",-.022,1.678,-.1,1.6,-.4886567,1.399311,-1,2,-.0144324,1.348337,-.5,2.5,.0017817,561.2527,.5188523,1.316976,0,10,.2017192,1.800016,0,11
"CA","blk",4,"math",1.03,.0362,.3711875,.0509962,.9147701,.6727064,2.410122,3.275402,35644.25,"California",.507,2.207,-.1,1.6,.2297721,1.420677,-1,2,.4695542,1.851122,-.5,2.5,.0013136,761.2853,.85237,1.368426,0,10,.6289541,1.821329,0,11
"CA","blk",4,"read",.821,.0362,.3036481,.0396562,.9147701,.6727064,2.410122,3.275402,35644.25,"California",.378,2.078,-.1,1.6,.1815398,1.155946,-1,2,.3938085,1.484521,-.5,2.5,.0013106,762.9976,.6717991,1.181764,0,10,.5082991,1.483623,0,11
"CA","hsp",4,"math",.997,.0231,.5742936,.1794563,.8581514,1.218022,1.733821,3.065096,233902.8,"California",.143,1.843,-.1,1.6,-.3790149,1.504489,-1,2,.0675631,1.480557,-.5,2.5,.0005337,1873.791,.6213536,1.417812,0,10,.2802785,1.986334,0,11
"CA","hsp",4,"read",.921,.0224,.6065311,.163633,.8581514,1.218022,1.733821,3.065096,233902.8,"California",.051,1.751,-.1,1.6,-.4413069,1.422306,-1,2,-.0339986,1.435674,-.5,2.5,.0005022,1991.338,.5585436,1.320314,0,10,.2325985,1.844095,0,11
"CA","blk",8,"math",1.01,.0339,.4412215,.0427785,.9147701,.6727064,2.410122,3.275402,35644.25,"California",.431,2.131,-.1,1.6,.1057694,1.473777,-1,2,.4672487,1.820155,-.5,2.5,.0011466,872.1483,.8620538,1.28495,0,10,.5980427,1.855158,0,11
