grade,year,sub,group,state,enrl,whtenrl,totenrl,whtnaepscore,naepscore,naepavg,vgap,vgapse,fips,slideyear,minenrl,wht_pct,min_pct,whtnaepweight,minnaepweight,summinnaepweight,natenrl,natavg,whtnaepdev,naepdev,avgnaepdev
4,1992,"read","blk","CA",34916.43,183294.9,412613,216.7376,180.5504,202.248,.923408,.1230598,"California",1,183315.8,.4442296,.0846227,96.28124,15.27866,80.15675,5.9e+06,216.737,.0005641,-36.1866,-14.489
4,1992,"read","hsp","SC",258.8247,29643.75,52241,220.8375,,209.716,9999,,"South Carolina",1,21706.95,.5674422,.0049544,125.3125,,79.60483,5.9e+06,216.737,4.100524,,-7.021
4,1992,"read","hsp","TX",96382.77,137048.7,278567,223.1154,200.1995,212.505,.7638134,.0957602,"Texas",1,135518.5,.4919777,.3459949,109.7678,69.26801,97.22339,5.9e+06,216.737,6.378433,-16.53749,-4.232
4,1992,"read","blk","RI",727.7689,9212.196,11161,223.0988,192.2909,216.615,.9901855,.1129803,"Rhode Island",1,1543.796,.8253917,.0652064,184.1439,12.5386,25.93134,5.9e+06,216.737,6.361846,-24.44611,-.122
4,1992,"read","hsp","FL",20250.28,97658.43,159288,217.8324,203.282,208.308,.4748693,.0753137,"Florida",1,59116.22,.6130934,.12713,133.5516,25.84323,70.93618,5.9e+06,216.737,1.095413,-13.455,-8.429
4,1992,"read","hsp","NH",135.1608,14688.22,15117,227.771,,227.715,9999,,"New Hampshire",1,252.5758,.9716359,.008941,221.3104,,0,5.9e+06,216.737,11.03395,,10.978
4,1992,"read","hsp","TN",198.9927,49847.7,65532,218.3834,,212.137,9999,,"Tennessee",1,15074,.760662,.0030366,166.116,,43.62101,5.9e+06,216.737,1.646438,,-4.6
4,1992,"read","blk","NM",515.4961,10072.54,23836,222.5125,201.7473,210.738,.6719489,.16737,"New Mexico",1,11248.5,.4225766,.0216268,94.02859,4.363146,94.1763,5.9e+06,216.737,5.775543,-14.98972,-5.999
4,1992,"read","blk","NJ",15073.9,52703.24,82100,232.548,198.0139,222.964,1.179329,.1187568,"New Jersey",1,25335.2,.6419396,.1836042,149.2818,36.35617,60.73415,5.9e+06,216.737,15.81103,-18.72314,6.227
4,1992,"read","blk","TN",14875.01,49847.7,65532,218.3834,192.1728,212.137,.8330564,.0786019,"Tennessee",1,15074,.760662,.2269885,166.116,43.62101,43.62101,5.9e+06,216.737,1.646438,-24.56421,-4.6
